station_code,Vs30
IWTH21,841.3333
IWTH22,828.6667
IWTH23,1309.3333
IWTH24,533.3333
IWTH25,510.0
IWTH26,469.3333
IWTH27,1370.0
IWTH28,439.3333
KGSH01,630.6667
KGSH02,901.6667
KGSH03,1336.6667
KGSH04,296.6667
KGSH05,574.0
KGSH06,693.6667
KGSH07,260.0
KGSH09,440.6667
KGSH10,326.0
KGSH11,568.0
KGSH12,666.0
KGSH13,567.0
KGWH01,376.4
KGWH02,217.2
KGWH03,1732.6667
KGWH04,862.6667
KGWH05,780.0
KKWH01,550.0
KKWH02,687.3333
KKWH03,740.0
KKWH04,481.0
KKWH05,640.6667
KKWH06,996.0
KKWH07,538.6667
KKWH08,412.0
KKWH09,678.6667
KKWH10,412.0
KKWH11,272.0
KKWH12,820.0
KKWH13,424.0
KKWH14,666.0
KKWH15,703.3333
KMMH01,755.0
KMMH02,857.3333
KMMH03,471.3333
KMMH04,135.3333
KMMH05,330.0
KMMH06,1066.6667
KMMH07,775.0
KMMH08,543.3333
KMMH09,550.0
KMMH10,580.0
KMMH11,1366.6667
KMMH12,444.0
KMMH13,473.3333
KMMH14,320.6667
KMMH15,566.0
KMMH16,357.0
KMMH17,983.3333
KNGH18,422.6667
KNGH19,846.6667
KNGH20,456.0
KNGH21,1208.3333
KNGH22,396.6667
KOCH01,514.0
KOCH02,864.6667
KOCH03,756.6667
KOCH04,1413.3333
KOCH05,370.0
KOCH06,200.0
KOCH07,611.3333
KOCH08,873.3333
KOCH10,1232.6667
KOCH11,836.0
KOCH12,554.0
KOCH13,880.6667
KSRH01,328.6667
KSRH02,298.0
KSRH03,292.0
KSRH04,232.0
KSRH05,620.0
KSRH06,393.3333
KSRH07,300.0
KSRH08,913.3333
KSRH09,340.6667
KSRH10,237.3333
KYTH01,282.6667
KYTH02,672.6667
KYTH03,887.3333
KYTH04,1220.3333
KYTH05,150.0
KYTH06,913.3333
KYTH08,453.3333
MIEH01,456.6667
MIEH02,642.0
MIEH03,690.0
MIEH04,558.6667
MIEH05,782.0
MIEH06,1579.3333
MIEH07,904.0
MIEH08,1336.6667
MIEH09,905.0
MIEH10,490.6667
MYGH01,210.0
MYGH02,457.3333
MYGH03,1286.6667
MYGH04,1448.0
MYGH05,342.6667
MYGH06,657.3333
MYGH07,404.6667
MYGH08,552.0
MYGH09,389.3333
MYGH10,371.3333
MYGH11,1459.3333
MYGH12,1189.3333
MYGH13,783.6667
MYZH01,574.5
MYZH02,1188.0
MYZH03,826.0
MYZH04,765.3333
MYZH05,1315.3333
MYZH06,1183.3333
MYZH07,1151.3333
MYZH08,428.0
MYZH09,1116.0
MYZH10,625.6667
MYZH11,576.6667
MYZH12,460.6667
MYZH13,262.6667
MYZH14,484.0
MYZH15,658.0
MYZH16,1049.0
NARH01,697.0
NARH02,711.4
NARH03,1251.2
NARH04,512.2533
NARH05,741.2
NARH06,704.7933
NARH07,1010.5
NGNH03,745.6667
NGNH08,476.6667
NGNH09,850.0
NGNH10,614.0
